,Misconception ID,Example Number,Topic,Predicted Diagnosis,Model,Trial,Correct
0,MaE24,3,Ratios and proportional reasoning,MaE25,gpt-4-turbo,0,False
1,MaE26,3,Ratios and proportional reasoning,MaE23,gpt-4-turbo,0,False
2,MaE30,2,Ratios and proportional reasoning,MaE30,gpt-4-turbo,0,True
3,MaE25,3,Ratios and proportional reasoning,MaE25,gpt-4-turbo,0,True
4,MaE23,1,Ratios and proportional reasoning,MaE26,gpt-4-turbo,0,False
5,MaE29,3,Ratios and proportional reasoning,MaE29,gpt-4-turbo,0,True
6,MaE27,4,Ratios and proportional reasoning,MaE27,gpt-4-turbo,0,True
7,MaE28,4,Ratios and proportional reasoning,MaE23,gpt-4-turbo,0,False
0,MaE08,3,Number Operations,MaE08,gpt-4-turbo,0,True
1,MaE22,1,Number Operations,MaE22,gpt-4-turbo,0,True
2,MaE21,3,Number Operations,MaE21,gpt-4-turbo,0,True
3,MaE16,1,Number Operations,MaE16,gpt-4-turbo,0,True
4,MaE12,1,Number Operations,MaE12,gpt-4-turbo,0,True
5,MaE14,3,Number Operations,MaE14,gpt-4-turbo,0,True
6,MaE07,4,Number Operations,MaE06,gpt-4-turbo,0,False
7,MaE19,2,Number Operations,MaE19,gpt-4-turbo,0,True
8,MaE11,3,Number Operations,MaE11,gpt-4-turbo,0,True
9,MaE15,4,Number Operations,MaE15,gpt-4-turbo,0,True
10,MaE10,1,Number Operations,MaE08,gpt-4-turbo,0,False
11,MaE18,2,Number Operations,MaE18,gpt-4-turbo,0,True
12,MaE17,4,Number Operations,MaE17,gpt-4-turbo,0,True
13,MaE09,4,Number Operations,MaE09,gpt-4-turbo,0,True
14,MaE20,2,Number Operations,MaE20,gpt-4-turbo,0,True
15,MaE13,3,Number Operations,MaE13,gpt-4-turbo,0,True
16,MaE06,1,Number Operations,MaE06,gpt-4-turbo,0,True
0,MaE41,1,"Patterns, relationships, and functions",MaE41,gpt-4-turbo,0,True
1,MaE38,1,"Patterns, relationships, and functions",MaE37,gpt-4-turbo,0,False
2,MaE42,3,"Patterns, relationships, and functions",MaE38,gpt-4-turbo,0,False
3,MaE40,3,"Patterns, relationships, and functions",MaE39,gpt-4-turbo,0,False
4,MaE35,2,"Patterns, relationships, and functions",MaE36,gpt-4-turbo,0,False
5,MaE39,3,"Patterns, relationships, and functions",MaE39,gpt-4-turbo,0,True
6,MaE37,1,"Patterns, relationships, and functions",MaE37,gpt-4-turbo,0,True
7,MaE36,1,"Patterns, relationships, and functions",MaE36,gpt-4-turbo,0,True
0,MaE03,1,Number sense,MaE03,gpt-4-turbo,0,True
1,MaE05,1,Number sense,MaE05,gpt-4-turbo,0,True
2,MaE02,1,Number sense,MaE02,gpt-4-turbo,0,True
3,MaE04,1,Number sense,MaE04,gpt-4-turbo,0,True
4,MaE01,4,Number sense,MaE01,gpt-4-turbo,0,True
0,MaE43,2,Algebraic representations,MaE43,gpt-4-turbo,0,True
1,MaE44,3,Algebraic representations,MaE44,gpt-4-turbo,0,True
0,MaE46,2,"Variables, expressions, and operations",MaE46,gpt-4-turbo,0,True
1,MaE47,1,"Variables, expressions, and operations",MaE47,gpt-4-turbo,0,True
2,MaE45,2,"Variables, expressions, and operations",MaE45,gpt-4-turbo,0,True
3,MaE48,1,"Variables, expressions, and operations",MaE48,gpt-4-turbo,0,True
0,MaE54,2,Equations and inequalities,MaE54,gpt-4-turbo,0,True
1,MaE52,1,Equations and inequalities,MaE52,gpt-4-turbo,0,True
2,MaE53,4,Equations and inequalities,MaE53,gpt-4-turbo,0,True
3,MaE51,2,Equations and inequalities,MaE51,gpt-4-turbo,0,True
4,MaE55,3,Equations and inequalities,MaE55,gpt-4-turbo,0,True
5,MaE49,3,Equations and inequalities,MaE53,gpt-4-turbo,0,False
6,MaE50,2,Equations and inequalities,MaE50,gpt-4-turbo,0,True
0,MaE33,4,Properties of number and operations,MaE33,gpt-4-turbo,0,True
1,MaE31,1,Properties of number and operations,MaE31,gpt-4-turbo,0,True
2,MaE34,1,Properties of number and operations,MaE34,gpt-4-turbo,0,True
3,MaE32,4,Properties of number and operations,MaE32,gpt-4-turbo,0,True
0,MaE30,2,Ratios and proportional reasoning,MaE30,gpt-4-turbo,1,True
1,MaE29,3,Ratios and proportional reasoning,MaE29,gpt-4-turbo,1,True
2,MaE26,4,Ratios and proportional reasoning,MaE24,gpt-4-turbo,1,False
3,MaE27,4,Ratios and proportional reasoning,MaE27,gpt-4-turbo,1,True
4,MaE25,4,Ratios and proportional reasoning,MaE25,gpt-4-turbo,1,True
5,MaE24,2,Ratios and proportional reasoning,MaE27,gpt-4-turbo,1,False
6,MaE23,3,Ratios and proportional reasoning,MaE28,gpt-4-turbo,1,False
7,MaE28,1,Ratios and proportional reasoning,MaE24,gpt-4-turbo,1,False
0,MaE14,4,Number Operations,MaE14,gpt-4-turbo,1,True
1,MaE22,2,Number Operations,MaE22,gpt-4-turbo,1,True
2,MaE07,3,Number Operations,MaE07,gpt-4-turbo,1,True
3,MaE16,3,Number Operations,MaE16,gpt-4-turbo,1,True
4,MaE12,3,Number Operations,MaE12,gpt-4-turbo,1,True
5,MaE08,3,Number Operations,MaE08,gpt-4-turbo,1,True
6,MaE17,2,Number Operations,MaE17,gpt-4-turbo,1,True
7,MaE09,1,Number Operations,MaE09,gpt-4-turbo,1,True
8,MaE15,2,Number Operations,MaE15,gpt-4-turbo,1,True
9,MaE13,1,Number Operations,MaE13,gpt-4-turbo,1,True
10,MaE10,4,Number Operations,MaE08,gpt-4-turbo,1,False
11,MaE11,2,Number Operations,MaE11,gpt-4-turbo,1,True
12,MaE18,2,Number Operations,MaE18,gpt-4-turbo,1,True
13,MaE21,1,Number Operations,MaE21,gpt-4-turbo,1,True
14,MaE19,2,Number Operations,MaE19,gpt-4-turbo,1,True
15,MaE06,4,Number Operations,MaE08,gpt-4-turbo,1,False
16,MaE20,4,Number Operations,MaE20,gpt-4-turbo,1,True
0,MaE35,2,"Patterns, relationships, and functions",MaE35,gpt-4-turbo,1,True
1,MaE37,2,"Patterns, relationships, and functions",MaE37,gpt-4-turbo,1,True
2,MaE38,2,"Patterns, relationships, and functions",MaE38,gpt-4-turbo,1,True
3,MaE41,3,"Patterns, relationships, and functions",MaE41,gpt-4-turbo,1,True
4,MaE40,2,"Patterns, relationships, and functions",MaE40,gpt-4-turbo,1,True
5,MaE36,2,"Patterns, relationships, and functions",MaE36,gpt-4-turbo,1,True
6,MaE39,1,"Patterns, relationships, and functions",MaE39,gpt-4-turbo,1,True
7,MaE42,4,"Patterns, relationships, and functions",MaE42,gpt-4-turbo,1,True
0,MaE05,3,Number sense,MaE05,gpt-4-turbo,1,True
1,MaE01,1,Number sense,MaE02,gpt-4-turbo,1,False
2,MaE03,1,Number sense,MaE03,gpt-4-turbo,1,True
3,MaE02,2,Number sense,MaE02,gpt-4-turbo,1,True
4,MaE04,4,Number sense,MaE01,gpt-4-turbo,1,False
0,MaE43,1,Algebraic representations,MaE43,gpt-4-turbo,1,True
1,MaE44,4,Algebraic representations,MaE44,gpt-4-turbo,1,True
0,MaE46,1,"Variables, expressions, and operations",MaE46,gpt-4-turbo,1,True
1,MaE48,3,"Variables, expressions, and operations",MaE48,gpt-4-turbo,1,True
2,MaE45,1,"Variables, expressions, and operations",MaE45,gpt-4-turbo,1,True
3,MaE47,1,"Variables, expressions, and operations",MaE47,gpt-4-turbo,1,True
0,MaE52,3,Equations and inequalities,MaE52,gpt-4-turbo,1,True
1,MaE50,4,Equations and inequalities,MaE50,gpt-4-turbo,1,True
2,MaE53,3,Equations and inequalities,MaE53,gpt-4-turbo,1,True
3,MaE51,1,Equations and inequalities,MaE51,gpt-4-turbo,1,True
4,MaE54,4,Equations and inequalities,MaE54,gpt-4-turbo,1,True
5,MaE55,1,Equations and inequalities,MaE55,gpt-4-turbo,1,True
6,MaE49,3,Equations and inequalities,MaE49,gpt-4-turbo,1,True
0,MaE32,4,Properties of number and operations,MaE33,gpt-4-turbo,1,False
1,MaE34,2,Properties of number and operations,MaE34,gpt-4-turbo,1,True
2,MaE31,4,Properties of number and operations,MaE31,gpt-4-turbo,1,True
3,MaE33,2,Properties of number and operations,MaE33,gpt-4-turbo,1,True
