,Misconception ID,Example Number,Topic,Predicted Diagnosis,Model,Trial,Correct
0,MaE36,3,"Patterns, relationships, and functions",MaE36,gpt-4-turbo,0,True
1,MaE50,1,Equations and inequalities,MaE27,gpt-4-turbo,0,False
2,MaE33,3,Properties of number and operations,MaE33,gpt-4-turbo,0,True
3,MaE54,1,Equations and inequalities,MaE54,gpt-4-turbo,0,True
4,MaE26,3,Ratios and proportional reasoning,MaE06,gpt-4-turbo,0,False
5,MaE46,3,"Variables, expressions, and operations",MaE47,gpt-4-turbo,0,False
6,MaE16,1,Number Operations,MaE16,gpt-4-turbo,0,True
7,MaE30,4,Ratios and proportional reasoning,MaE30,gpt-4-turbo,0,True
8,MaE48,1,"Variables, expressions, and operations",MaE44,gpt-4-turbo,0,False
9,MaE44,3,Algebraic representations,MaE31,gpt-4-turbo,0,False
10,MaE43,1,Algebraic representations,MaE43,gpt-4-turbo,0,True
11,MaE53,2,Equations and inequalities,MaE53,gpt-4-turbo,0,True
12,MaE23,3,Ratios and proportional reasoning,MaE23,gpt-4-turbo,0,True
13,MaE24,2,Ratios and proportional reasoning,MaE38,gpt-4-turbo,0,False
14,MaE20,3,Number Operations,MaE49,gpt-4-turbo,0,False
15,MaE15,4,Number Operations,MaE14,gpt-4-turbo,0,False
16,MaE41,4,"Patterns, relationships, and functions",MaE41,gpt-4-turbo,0,True
17,MaE31,2,Properties of number and operations,MaE31,gpt-4-turbo,0,True
18,MaE01,3,Number sense,MaE01,gpt-4-turbo,0,True
19,MaE14,1,Number Operations,MaE14,gpt-4-turbo,0,True
20,MaE29,4,Ratios and proportional reasoning,MaE29,gpt-4-turbo,0,True
21,MaE18,3,Number Operations,MaE18,gpt-4-turbo,0,True
22,MaE19,3,Number Operations,MaE19,gpt-4-turbo,0,True
23,MaE42,3,"Patterns, relationships, and functions",MaE38,gpt-4-turbo,0,False
24,MaE38,1,"Patterns, relationships, and functions",MaE37,gpt-4-turbo,0,False
25,MaE35,2,"Patterns, relationships, and functions",MaE36,gpt-4-turbo,0,False
26,MaE02,4,Number sense,MaE08,gpt-4-turbo,0,False
27,MaE49,3,Equations and inequalities,MaE48,gpt-4-turbo,0,False
28,MaE06,2,Number Operations,MaE08,gpt-4-turbo,0,False
29,MaE08,2,Number Operations,MaE08,gpt-4-turbo,0,True
30,MaE52,1,Equations and inequalities,MaE33,gpt-4-turbo,0,False
31,MaE22,4,Number Operations,MaE22,gpt-4-turbo,0,True
32,MaE28,4,Ratios and proportional reasoning,MaE23,gpt-4-turbo,0,False
33,MaE09,1,Number Operations,MaE14,gpt-4-turbo,0,False
34,MaE25,3,Ratios and proportional reasoning,MaE13,gpt-4-turbo,0,False
35,MaE51,1,Equations and inequalities,MaE39,gpt-4-turbo,0,False
36,MaE12,2,Number Operations,MaE12,gpt-4-turbo,0,True
37,MaE04,3,Number sense,MaE53,gpt-4-turbo,0,False
38,MaE10,2,Number Operations,MaE11,gpt-4-turbo,0,False
39,MaE17,1,Number Operations,MaE17,gpt-4-turbo,0,True
40,MaE27,1,Ratios and proportional reasoning,MaE24,gpt-4-turbo,0,False
41,MaE55,4,Equations and inequalities,MaE55,gpt-4-turbo,0,True
42,MaE21,2,Number Operations,MaE16,gpt-4-turbo,0,False
43,MaE47,2,"Variables, expressions, and operations",MaE47,gpt-4-turbo,0,True
44,MaE11,2,Number Operations,MaE11,gpt-4-turbo,0,True
45,MaE13,4,Number Operations,MaE13,gpt-4-turbo,0,True
46,MaE03,1,Number sense,MaE04,gpt-4-turbo,0,False
47,MaE40,3,"Patterns, relationships, and functions",MaE04,gpt-4-turbo,0,False
48,MaE45,4,"Variables, expressions, and operations",MaE45,gpt-4-turbo,0,True
49,MaE37,2,"Patterns, relationships, and functions",MaE43,gpt-4-turbo,0,False
50,MaE07,2,Number Operations,MaE07,gpt-4-turbo,0,True
51,MaE05,1,Number sense,MaE05,gpt-4-turbo,0,True
52,MaE32,1,Properties of number and operations,MaE31,gpt-4-turbo,0,False
53,MaE34,4,Properties of number and operations,MaE54,gpt-4-turbo,0,False
54,MaE39,2,"Patterns, relationships, and functions",MaE39,gpt-4-turbo,0,True
0,MaE11,4,Number Operations,MaE11,gpt-4-turbo,1,True
1,MaE55,1,Equations and inequalities,MaE55,gpt-4-turbo,1,True
2,MaE26,1,Ratios and proportional reasoning,MaE26,gpt-4-turbo,1,True
3,MaE49,2,Equations and inequalities,MaE53,gpt-4-turbo,1,False
4,MaE44,2,Algebraic representations,MaE42,gpt-4-turbo,1,False
5,MaE19,3,Number Operations,MaE19,gpt-4-turbo,1,True
6,MaE32,2,Properties of number and operations,MaE47,gpt-4-turbo,1,False
7,MaE04,3,Number sense,MaE45,gpt-4-turbo,1,False
8,MaE37,4,"Patterns, relationships, and functions",MaE43,gpt-4-turbo,1,False
9,MaE12,1,Number Operations,MaE29,gpt-4-turbo,1,False
10,MaE31,1,Properties of number and operations,MaE31,gpt-4-turbo,1,True
11,MaE30,4,Ratios and proportional reasoning,MaE30,gpt-4-turbo,1,True
12,MaE05,4,Number sense,MaE05,gpt-4-turbo,1,True
13,MaE09,1,Number Operations,MaE09,gpt-4-turbo,1,True
14,MaE39,4,"Patterns, relationships, and functions",MaE39,gpt-4-turbo,1,True
15,MaE50,2,Equations and inequalities,MaE34,gpt-4-turbo,1,False
16,MaE28,3,Ratios and proportional reasoning,MaE23,gpt-4-turbo,1,False
17,MaE33,4,Properties of number and operations,MaE33,gpt-4-turbo,1,True
18,MaE35,1,"Patterns, relationships, and functions",MaE35,gpt-4-turbo,1,True
19,MaE29,1,Ratios and proportional reasoning,MaE29,gpt-4-turbo,1,True
20,MaE03,4,Number sense,MaE03,gpt-4-turbo,1,True
21,MaE17,4,Number Operations,MaE17,gpt-4-turbo,1,True
22,MaE45,3,"Variables, expressions, and operations",MaE48,gpt-4-turbo,1,False
23,MaE18,2,Number Operations,MaE18,gpt-4-turbo,1,True
24,MaE10,2,Number Operations,MaE11,gpt-4-turbo,1,False
25,MaE38,3,"Patterns, relationships, and functions",MaE39,gpt-4-turbo,1,False
26,MaE21,3,Number Operations,MaE20,gpt-4-turbo,1,False
27,MaE06,1,Number Operations,MaE06,gpt-4-turbo,1,True
28,MaE47,1,"Variables, expressions, and operations",MaE31,gpt-4-turbo,1,False
29,MaE51,4,Equations and inequalities,MaE52,gpt-4-turbo,1,False
30,MaE20,3,Number Operations,MaE20,gpt-4-turbo,1,True
31,MaE24,2,Ratios and proportional reasoning,MaE42,gpt-4-turbo,1,False
32,MaE13,3,Number Operations,MaE13,gpt-4-turbo,1,True
33,MaE40,1,"Patterns, relationships, and functions",MaE41,gpt-4-turbo,1,False
34,MaE52,4,Equations and inequalities,MaE52,gpt-4-turbo,1,True
35,MaE46,2,"Variables, expressions, and operations",MaE54,gpt-4-turbo,1,False
36,MaE41,3,"Patterns, relationships, and functions",MaE15,gpt-4-turbo,1,False
37,MaE27,3,Ratios and proportional reasoning,MaE23,gpt-4-turbo,1,False
38,MaE53,2,Equations and inequalities,MaE53,gpt-4-turbo,1,True
