,Misconception ID,Example Number,Topic,Predicted Diagnosis,Model,Trial,Correct
0,MaE24,2,Ratios and proportional reasoning,MaE23,gpt-4-turbo,0,False
1,MaE29,4,Ratios and proportional reasoning,MaE29,gpt-4-turbo,0,True
2,MaE30,4,Ratios and proportional reasoning,MaE30,gpt-4-turbo,0,True
3,MaE26,2,Ratios and proportional reasoning,MaE25,gpt-4-turbo,0,False
4,MaE25,2,Ratios and proportional reasoning,MaE25,gpt-4-turbo,0,True
5,MaE23,4,Ratios and proportional reasoning,MaE23,gpt-4-turbo,0,True
6,MaE27,1,Ratios and proportional reasoning,MaE28,gpt-4-turbo,0,False
7,MaE28,4,Ratios and proportional reasoning,MaE23,gpt-4-turbo,0,False
0,MaE15,2,Number Operations,MaE15,gpt-4-turbo,0,True
1,MaE13,1,Number Operations,MaE13,gpt-4-turbo,0,True
2,MaE16,4,Number Operations,MaE16,gpt-4-turbo,0,True
3,MaE20,2,Number Operations,MaE20,gpt-4-turbo,0,True
4,MaE12,4,Number Operations,MaE12,gpt-4-turbo,0,True
5,MaE18,2,Number Operations,MaE18,gpt-4-turbo,0,True
6,MaE17,3,Number Operations,MaE17,gpt-4-turbo,0,True
7,MaE10,1,Number Operations,MaE11,gpt-4-turbo,0,False
8,MaE19,1,Number Operations,MaE19,gpt-4-turbo,0,True
9,MaE08,1,Number Operations,MaE09,gpt-4-turbo,0,False
10,MaE21,1,Number Operations,MaE21,gpt-4-turbo,0,True
11,MaE06,3,Number Operations,None,gpt-4-turbo,0,False
12,MaE07,2,Number Operations,MaE07,gpt-4-turbo,0,True
13,MaE14,4,Number Operations,MaE15,gpt-4-turbo,0,False
14,MaE11,2,Number Operations,MaE11,gpt-4-turbo,0,True
15,MaE09,3,Number Operations,MaE09,gpt-4-turbo,0,True
16,MaE22,2,Number Operations,MaE22,gpt-4-turbo,0,True
0,MaE35,2,"Patterns, relationships, and functions",MaE35,gpt-4-turbo,0,True
1,MaE42,4,"Patterns, relationships, and functions",MaE39,gpt-4-turbo,0,False
2,MaE36,3,"Patterns, relationships, and functions",MaE35,gpt-4-turbo,0,False
3,MaE38,4,"Patterns, relationships, and functions",MaE42,gpt-4-turbo,0,False
4,MaE37,4,"Patterns, relationships, and functions",MaE41,gpt-4-turbo,0,False
5,MaE39,2,"Patterns, relationships, and functions",MaE39,gpt-4-turbo,0,True
6,MaE40,3,"Patterns, relationships, and functions",MaE41,gpt-4-turbo,0,False
7,MaE41,3,"Patterns, relationships, and functions",MaE41,gpt-4-turbo,0,True
0,MaE05,2,Number sense,MaE05,gpt-4-turbo,0,True
1,MaE01,1,Number sense,MaE02,gpt-4-turbo,0,False
2,MaE02,3,Number sense,MaE02,gpt-4-turbo,0,True
3,MaE04,2,Number sense,MaE04,gpt-4-turbo,0,True
4,MaE03,1,Number sense,MaE03,gpt-4-turbo,0,True
0,MaE44,1,Algebraic representations,MaE44,gpt-4-turbo,0,True
1,MaE43,4,Algebraic representations,MaE43,gpt-4-turbo,0,True
0,MaE48,3,"Variables, expressions, and operations",MaE47,gpt-4-turbo,0,False
1,MaE47,3,"Variables, expressions, and operations",MaE47,gpt-4-turbo,0,True
2,MaE45,2,"Variables, expressions, and operations",MaE45,gpt-4-turbo,0,True
3,MaE46,2,"Variables, expressions, and operations",MaE46,gpt-4-turbo,0,True
0,MaE52,2,Equations and inequalities,MaE52,gpt-4-turbo,0,True
1,MaE49,4,Equations and inequalities,MaE50,gpt-4-turbo,0,False
2,MaE53,3,Equations and inequalities,MaE53,gpt-4-turbo,0,True
3,MaE50,4,Equations and inequalities,MaE50,gpt-4-turbo,0,True
4,MaE55,4,Equations and inequalities,MaE53,gpt-4-turbo,0,False
5,MaE54,4,Equations and inequalities,MaE50,gpt-4-turbo,0,False
6,MaE51,4,Equations and inequalities,MaE52,gpt-4-turbo,0,False
0,MaE32,1,Properties of number and operations,MaE33,gpt-4-turbo,0,False
1,MaE33,2,Properties of number and operations,MaE33,gpt-4-turbo,0,True
2,MaE31,1,Properties of number and operations,MaE31,gpt-4-turbo,0,True
3,MaE34,4,Properties of number and operations,MaE34,gpt-4-turbo,0,True
0,MaE25,1,Ratios and proportional reasoning,MaE27,gpt-4-turbo,1,False
1,MaE24,3,Ratios and proportional reasoning,MaE24,gpt-4-turbo,1,True
2,MaE30,1,Ratios and proportional reasoning,MaE30,gpt-4-turbo,1,True
